Mortality rate;Mean male height (cm);Entity
4.25;170.0718002;Algeria
21.97;167.3107273;Angola
15.2;167.0572709;Benin
6.69;171.6276505;Botswana
19.25;169.3288328;Burkina Faso
17.33;166.6352493;Burundi
14.71;167.8231913;Cameroon
5.45;173.2239364;Cape Verde
17.38;166.6738233;Central African Republic
19.68;170.4385774;Chad
10.52;166.1943222;Comoros
10.82;167.4476256;Congo
15.09;166.5328825;Cote d'Ivoire
17.28;166.7952777;Democratic Republic of Congo
10.84;166.5732512;Djibouti
6.04;166.6840579;Egypt
16.95;167.3621474;Equatorial Guinea
10.72;168.3564492;Eritrea
8.96;168.1315991;Eswatini
16.44;166.2315083;Ethiopia
8.78;167.9359895;Gabon
13.32;165.401738;Gambia
11.21;168.8493553;Ghana
19.18;167.5446232;Guinea
19.34;167.8983809;Guinea-Bissau
11.01;169.6400915;Kenya
9.48;165.5897658;Lesotho
23.62;163.6602657;Liberia
3.19;173.5284006;Libya
12.78;161.5474932;Madagascar
20.14;162.2277323;Malawi
20.76;171.1194632;Mali
11.33;163.2810601;Mauritania
2.27;170.4992686;Mauritius
5.96;170.4001635;Morocco
21;164.7975642;Mozambique
7.21;166.9643668;Namibia
26.58;167.6760035;Niger
20.14;165.9067896;Nigeria
19.43;162.6789315;Rwanda
10.09;167.3845214;Sao Tome and Principe
13.91;173.1387425;Senegal
1.41;174.2155275;Seychelles
24.61;164.4056705;Sierra Leone
17.11;166.6032003;Somalia
6.18;166.6780993;South Africa
11.6;166.6314888;Sudan
15.18;164.8003909;Tanzania
13.04;168.3303395;Togo
4;173.9514542;Tunisia
16.29;165.6249322;Uganda
16.91;166.5171435;Zambia
9.62;168.5860045;Zimbabwe
