;Human Development Index (UNDP);Mean male height (cm)
240;0.581;170.7879805
2280;0.354;168.2067342
2859;0.588;172.2223982
3466;0.3;167.4100457
3710;0.436;168.9514848
4073;0.312;167.5727713
4795;0.535;168.4116486
5141;0.387;167.6471163
5751;0.353;167.7514498
11625;0.55;167.8354907
12224;0.537;168.9608313
12933;0.625;168.9151115
13053;0.337;166.3582977
13418;0.46;169.5446816
14001;0.28;168.5997145
16313;0.466;170.4933135
17156;0.499;166.4844113
17398;0.688;173.8212747
17883;0.346;163.203797
18249;0.238;171.9479841
18595;0.379;164.829142
18718;0.626;170.7113653
19441;0.464;170.7769295
19563;0.212;165.5164722
19805;0.582;168.0283692
20519;0.214;168.8595604
22999;0.227;163.9589571
23595;0.455;168.5164189
23839;0.367;174.0236344
24202;0.267;165.4294
24910;0.626;167.5859137
25398;0.336;167.3970894
26226;0.371;165.6899291
26590;0.408;169.1347655
27058;0.575;173.8952008
27513;0.311;166.6559248
28945;0.402;167.4565089
29067;0.494;169.5285093
