Code;Change in male height (cm);Change in female height (cm)
AFG;4.0917654;5.8875762
ALB;10.0637158;11.5737254
DZA;9.683722;7.2259589
ASM;6.3294112;6.3239834
AND;12.67248;10.466057
AGO;5.1395795;4.703628
ATG;10.9950508;10.0465608
ARG;12.2784569;8.5889525
ARM;10.1444336;8.4576857
AUS;10.2573538;10.366089
AUT;9.3817916;7.068036
AZE;8.0795634;8.3191819
BHS;11.0186311;10.1188808
BHR;11.0318365;7.0309285
BGD;5.2254168;9.3066267
BRB;11.0649159;13.217387
BLR;10.7062416;12.3789151
BEL;14.4983012;10.069576
BLZ;10.5999947;10.6951927
BEN;4.5436044;2.9953795
BMU;10.9392431;10.1689983
BTN;4.0395085;6.6591408
BOL;10.5285503;10.6935803
BIH;12.4454513;12.0037311
BWA;5.4413515;5.3476914
BRA;10.3376444;10.6960196
BRN;9.2203452;8.2400987
BGR;11.7822558;12.6054448
BFA;5.8347812;4.0170602
BDI;5.0463075;2.8880307
KHM;8.4527714;6.6725239
CMR;4.3164383;5.018037
CAN;7.3665897;6.2978256
CPV;8.3647782;7.0087624
CAF;5.3099258;5.9361553
TCD;5.5439129;3.477457
CHL;11.1171855;11.7695866
CHN;10.8547559;9.5535825
COL;12.1940505;12.828979
COM;6.4718285;5.0468677
COG;5.563485;5.0598393
COK;5.3143289;7.0389672
CRI;11.2483982;13.6400007
CIV;3.8958108;4.5481532
HRV;12.6538758;15.5501516
CUB;12.1179662;8.7361734
CYP;12.2600812;10.1978679
CZE;12.1038055;15.7027695
COD;4.9595221;4.2486772
DNK;11.4194848;10.0921521
DJI;5.0661152;4.323587
DMA;11.8479522;11.5317378
DOM;12.4843741;10.1029445
;7.7994;7.8996
ECU;11.4479357;11.232168
EGY;8.0483715;8.6113264
SLV;11.2975004;13.3389
GNQ;5.2407655;4.7159702
ERI;4.5620792;4.2757429
EST;10.7185428;12.1996464
SWZ;4.9113844;5.7772721
ETH;4.953314;3.5385657
;11.4932;10.9153
FJI;5.2993532;8.2191881
FIN;11.8464644;11.9690765
FRA;13.3255902;9.5396559
PYF;7.37426;8.2179425
GAB;5.2516609;5.9143995
GMB;4.6892931;5.4115209
GEO;9.9327123;9.3718068
DEU;12.7235495;9.8703201
GHA;6.4760533;4.5987534
GRC;14.7988233;14.3043699
GRL;15.4017259;14.5077719
GRD;12.444657;10.7119423
GTM;9.52529;9.0986229
GIN;4.1890875;4.1782473
GNB;5.0513733;5.5105437
GUY;10.3016976;9.261397
HTI;10.9448807;8.9838153
HND;8.0199867;10.3232153
HKG;13.8994224;12.9973069
HUN;10.9537564;10.4064652
ISL;9.9517955;7.3951508
IND;2.9851723;4.6194904
IDN;8.9059469;8.0957418
IRN;16.5129475;11.1265901
IRQ;11.1731925;8.9897699
IRL;12.5605795;11.16151
ISR;13.4558239;9.8087342
ITA;13.0566994;11.1055177
JAM;11.4693101;10.8605026
JPN;14.6506965;16.0212277
JOR;12.1424098;8.623222
KAZ;9.9113315;8.4441945
KEN;3.9200198;2.2609151
KIR;2.3617005;5.2643497
KWT;11.5622671;9.1690905
KGZ;10.989261;9.1694365
LAO;7.6343693;6.5799561
;10.9302;10.5951
LVA;12.0418559;14.2864223
LBN;13.6748312;12.8172974
LSO;4.270037;2.6446987
LBR;4.9891749;4.0430933
LBY;12.2638897;11.9061282
LTU;10.0994542;12.5270636
LUX;10.5326271;9.6010285
MDG;2.8652616;1.5028805
MWI;3.0213635;2.9937009
MYS;10.3137102;8.7536982
MDV;11.850151;11.1315789
MLI;6.031015;4.3985767
MLT;11.4309438;10.6617418
MHL;0.5152902;2.5926642
MRT;1.7633119;2.762087
MUS;9.866225;9.1216094
MEX;12.2625325;13.3718536
FSM;3.8548336;3.6403721
;10.9653;8.943
MDA;10.856921;10.9881187
MNG;9.9695674;10.3232655
MNE;11.8195311;12.7037508
MAR;11.1925017;7.0501206
MOZ;5.6755522;3.092918
MMR;7.3603854;8.7735287
NAM;2.7681319;1.9790626
NRU;3.0244573;2.193519
NPL;4.7664219;6.724711
NLD;13.1034583;13.8941705
NZL;10.2520135;8.9831385
NIC;9.5210114;8.2831319
NER;3.7801337;1.9775513
NGA;4.8601054;3.1962719
NIU;7.2329028;12.7328087
;8.1189;7.1633
PRK;11.4171475;9.8452969
MKD;11.8213435;10.2066964
NOR;8.5050213;6.3426421
OMN;13.4031011;10.3826048
PAK;1.2723268;3.2473958
PLW;3.5491777;4.2232758
PSE;11.2292118;7.8872854
PAN;11.5079001;10.9838824
PNG;4.2793746;4.9557177
PRY;10.7918183;10.6764289
PER;10.3049242;11.4507324
PHL;8.5007523;1.7121351
POL;13.6628579;14.0463646
PRT;13.9741039;12.5843991
PRI;11.5878976;11.9025155
QAT;11.2558919;8.9545104
ROU;10.9214984;11.6534214
RUS;9.4914057;11.6838175
RWA;2.7333397;2.5192575
KNA;9.3214982;6.4791917
LCA;9.9388357;8.6551287
VCT;11.0092698;10.1344943
WSM;5.2368058;4.7585304
STP;5.1935306;6.020093
SAU;9.5390693;6.763007
SEN;6.4688973;5.5765161
SRB;13.1239413;15.6950507
SYC;8.7396433;6.6246143
SLE;3.8478657;4.1782987
SGP;9.7075712;13.2659289
SVK;11.1618196;11.8861062
SVN;12.4246259;13.543199
SLB;3.2954262;5.9710995
SOM;5.1540265;4.2923717
ZAF;1.4179357;3.1169938
;5.3745;7.1097
KOR;15.1678303;20.1609134
ESP;14.3036078;12.2888666
LKA;8.7655799;9.3014057
;4.8802;4.2828
SDN;5.1264328;4.2760631
SUR;11.0062056;10.1720534
SWE;7.8406902;5.4089258
CHE;10.8923077;5.9181368
SYR;11.191338;9.0370823
TWN;13.2073055;12.0726412
TJK;9.8711251;6.4410295
TZA;4.0137251;4.8863034
THA;10.7060255;9.6821193
TLS;6.7594311;6.3060867
TGO;5.5437756;5.288635
TKL;7.1100034;7.1417544
TON;6.3459455;7.949119
TTO;9.8350379;6.4250985
TUN;9.8807289;9.4926205
TUR;13.8874943;10.915628
TKM;10.270118;8.8730765
TUV;4.2843408;1.5185633
UGA;3.4466716;3.1235341
UKR;10.756056;12.3864014
ARE;11.1510719;9.0735683
GBR;10.6179026;11.0195473
USA;6.0511236;5.023217
URY;9.6229388;12.5205734
UZB;8.2990198;6.9405088
VUT;4.5057353;5.4553479
VEN;11.6324095;12.6998623
VNM;9.1477168;8.8128523
OWID_WRL;8.797910708;8.344391691
YEM;5.3825676;8.8687897
ZMB;4.3092163;4.2885218
ZWE;3.8090071;2.9136566
